Acct	ACCT	"LNAME, FNAME"	Address	City	State	ZIP	CC_NO	CV2	PIN	Balance	acct2
2013045461	769042968	"Abshire  , Jacques "	2827 Digging Road	IRONDALE	AL	35210	5662762847595210	310	3647	2694	2013074562
2013045461	7695443	"Abshire  , Newton "	381 Mustering Street	HOHENWALD	TN	38462	4453391831665030	229	8045	2126	2013074563
2013045462	9255957	"Abshire  , Simona "	8853 Hastens Avenue	NASHVILLE	TN	37201	4271782956542960	548	1391	7806	2013074564
2013045463	1211547851	"Albin  , Benita "	981 Assuming Avenue	DAWSONVILLE	GA	30534	4271784782714830	757	2462	3101	2013074565
2013045464	430297851	"Albin  , Charis "	2562 Marginally Trace	ORMOND BEACH	FL	32174	4453397768249500	679	4037	3194	2013074566
2013045465	1330566406	"Albin  , Darline "	5490 Friction Blvd	LONGWOOD	FL	32779	5662769296264630	332	4128	8126	2013074567
2013045466	1779174804	"Alers  , Alton "	6185 Assertive Street	LELAND	MS	38756	4453399007568350	374	5082	5329	2013074568
2013045467	3897221	"Alers  , Neil "	3222 Glories Trace	ORMOND BEACH	FL	32176	4453395205688470	113	3884	4943	2013074569
2013045468	3178453	"Alers  , Roselle "	8160 Resuspended Avenue	FAIRFIELD	AL	35064	4271782905883780	868	2138	6374	2013074570
2013045469	4420642	"Amesquita  , Napoleon "	192 Deafened Road	MONTICELLO	MS	39654	5662765770568840	883	1206	4062	2013074571
2013045470	8230900	"Amesquita  , Phyllis "	7794 Spoiler Trace	TEXARKANA	AR	71854	4453398055419910	301	8475	2247	2013074572
2013045471	6397813	"Amesquita  , Refugio "	1725 Intensive Avenue	WYNNE	AR	72396	4271786231384270	816	1431	2590	2013074573
2013045472	1885986328	"Amrhein  , Adriane "	2686 Sequentializing Street	BATON ROUGE	LA	70808	4453394531860340	835	8066	3958	2013074574
2013045473	515626103	"Amrhein  , Leonard "	7462 Alveolar Lane	GERMANTOWN	TN	38138	4271786981201160	308	8260	7731	2013074575
2013045474	953125126	"Amrhein  , Logan "	1565 Scruple Trail	LIVINGSTON	AL	35470	4453390910949700	438	5132	3405	2013074576
2013045475	985717773	"Andry  , Estrella "	6795 Consecrates Trail	CLARKSVILLE	TN	37042	4453390275878900	351	5604	9954	2013074577
2013045476	9761905	"Andry  , Shane "	4532 Revisit Circle	ROCKWOOD	TN	37854	4271786520996080	821	6486	5599	2013074578
2013045477	53710180	"Andry  , Zonia "	990 Increaser Trace	KNOXVILLE	TN	37923	4453397008361800	272	8583	3611	2013074579
2013045478	534057617	"Andujar  , Eloisa "	513 Ascendency Street	SARASOTA	FL	34232	4453390525512690	571	5290	8558	2013074580
2013045479	6233615	"Andujar  , Shizuko "	8036 Kissing Circle	LILBURN	GA	30047	4271783634338370	400	2475	4297	2013074581
2013045480	260742192	"Andujar  , Veta "	9153 Expires Street	MARRERO	LA	70072	4453395895385730	209	2607	4156	2013074582
2013045481	1434326171	"Arehart  , Agnus "	8952 Terrains Trail	OWENS CROSS ROADS	AL	35763	4453390394287100	740	6629	824	2013074583
